,chapter,senten_num,sentiment,person
0,1,2,0.624615254649289,李诗情
1,1,6,0.949742522644587,李诗情
2,1,9,0.2688309991588754,肖鹤云
3,1,13,0.9804799973818725,肖鹤云
4,1,13,0.9804799973818725,李诗情
5,1,14,0.5764962936599998,李诗情
6,1,15,0.6418504096644726,李诗情
7,1,20,0.9723053441834314,李诗情
8,1,23,0.9980860235193061,肖鹤云
9,1,23,0.9980860235193061,李诗情
10,1,24,0.9775294137439053,肖鹤云
11,1,24,0.9775294137439053,李诗情
12,1,25,0.96782670315859,肖鹤云
13,1,29,0.949742522644587,李诗情
14,1,35,0.31152671021990075,李诗情
15,1,37,0.9885587022990855,李诗情
16,1,43,0.015891705715915028,张警官
17,1,46,0.1081075811494222,肖鹤云
18,1,46,0.1081075811494222,李诗情
19,1,48,0.32868639099353514,李诗情
20,1,49,0.6037831011663753,李诗情
21,1,50,0.9107099704125996,李诗情
22,1,55,0.29182893997968407,李诗情
23,1,55,0.29182893997968407,张警官
24,1,56,0.4506976247910368,李诗情
25,1,57,0.40699725989909363,李诗情
26,1,59,0.998869835835586,肖鹤云
27,1,59,0.998869835835586,李诗情
28,1,60,0.9721980704501968,肖鹤云
29,1,61,0.8337654177036571,肖鹤云
30,1,63,0.04060835696488885,李诗情
31,1,63,0.04060835696488885,张警官
32,1,64,0.9903412561107099,李诗情
33,1,65,0.7627109328104995,李诗情
34,1,66,0.47246483954201124,张警官
35,1,67,0.9192817862995942,李诗情
36,1,73,0.8900971401571642,李诗情
37,1,75,0.314894927923269,张警官
38,1,77,0.7837711860589068,李诗情
39,1,80,0.8901845494929276,李诗情
40,1,87,0.8893741909488335,李诗情
41,1,93,0.9666866454460974,李诗情
42,1,94,0.6987781208090184,李诗情
43,1,97,0.9677715277886452,李诗情
44,1,101,0.11654273788371505,李诗情
45,1,101,0.11654273788371505,张警官
46,1,102,0.8470172450954533,李诗情
47,1,104,0.7395915942418253,李诗情
48,1,105,0.8519081770380539,李诗情
49,1,107,0.020468245829081355,李诗情
50,1,107,0.020468245829081355,张警官
51,1,108,0.47441048924361784,肖鹤云
52,1,112,0.09033753604801376,李诗情
53,1,112,0.09033753604801376,张警官
54,1,114,0.9718419214791986,肖鹤云
55,1,115,0.8025859966323314,李诗情
56,1,117,0.8578292918992794,肖鹤云
57,2,2,0.9971372463329659,肖鹤云
58,2,2,0.9971372463329659,李诗情
59,2,3,0.488352918799032,李诗情
60,2,6,0.9904590271301973,肖鹤云
61,2,16,0.994979351453117,肖鹤云
62,2,17,0.9930126372753386,肖鹤云
63,2,21,0.9885320025242234,肖鹤云
64,2,22,0.9765078913227458,李诗情
65,2,24,0.833393965385895,李诗情
66,2,27,0.9461402199824037,肖鹤云
67,2,27,0.9461402199824037,李诗情
68,2,28,0.23799401071298654,肖鹤云
69,2,29,0.9377114119000237,肖鹤云
70,2,29,0.9377114119000237,李诗情
71,2,31,0.888139084803734,肖鹤云
72,2,38,0.5742690103216709,肖鹤云
73,2,39,0.9130790787767146,肖鹤云
74,2,39,0.9130790787767146,李诗情
75,2,41,0.7847965625755321,肖鹤云
76,2,43,0.9646493382045153,肖鹤云
77,2,48,0.9768684180132169,肖鹤云
78,2,49,0.26452131395552814,李诗情
79,2,51,0.19513357648473162,李诗情
80,2,53,0.3954018966344859,李诗情
81,2,54,0.46653047370961465,肖鹤云
82,2,55,0.69304612461363,肖鹤云
83,2,57,0.7204290355051032,李诗情
84,2,62,0.5458881291853985,李诗情
85,2,67,0.7504960260124571,肖鹤云
86,2,67,0.7504960260124571,李诗情
87,2,72,0.6733318742188349,肖鹤云
88,2,72,0.6733318742188349,李诗情
89,2,77,0.960254494825247,肖鹤云
90,2,77,0.960254494825247,李诗情
91,2,84,0.9914649897413724,肖鹤云
92,2,84,0.9914649897413724,李诗情
93,2,85,0.8868088708860856,李诗情
94,2,87,0.9383158513866986,肖鹤云
95,2,89,0.8716499300353499,肖鹤云
96,2,90,0.9535027025057148,李诗情
97,2,95,0.07372369882482066,肖鹤云
98,2,96,0.6284687444128636,肖鹤云
99,2,96,0.6284687444128636,李诗情
100,2,101,0.33774408307976167,张警官
101,2,105,0.9932288315121999,肖鹤云
102,2,105,0.9932288315121999,李诗情
103,2,110,0.8903547363015143,李诗情
104,3,2,0.9762094888646452,肖鹤云
105,3,7,0.9408413820501564,肖鹤云
106,3,7,0.9408413820501564,李诗情
107,3,11,0.8661341501691912,李诗情
108,3,12,0.9786896310409094,肖鹤云
109,3,15,0.9192817862995942,李诗情
110,3,17,0.571653194908525,肖鹤云
111,3,18,0.9988329136319096,肖鹤云
112,3,18,0.9988329136319096,李诗情
113,3,19,0.6168469924536477,李诗情
114,3,22,0.30329081243646006,张警官
115,3,23,0.9835460754880345,肖鹤云
116,3,23,0.9835460754880345,李诗情
117,3,23,0.9835460754880345,张警官
118,3,25,0.9894244866055095,肖鹤云
119,3,26,0.8970765268056204,肖鹤云
120,3,26,0.8970765268056204,张警官
121,3,28,0.9833067608757505,肖鹤云
122,3,28,0.9833067608757505,张警官
123,3,29,0.8169100052580418,肖鹤云
124,3,31,0.9800561190119096,肖鹤云
125,3,32,0.8922053572057512,肖鹤云
126,3,32,0.8922053572057512,张警官
127,3,34,0.9047840283344195,肖鹤云
128,3,35,0.554075168837068,肖鹤云
129,3,37,0.8673122890329843,肖鹤云
130,3,39,0.4357437508136861,肖鹤云
131,3,39,0.4357437508136861,张警官
132,3,40,0.5217199820516515,李诗情
133,3,43,0.951024990350135,肖鹤云
134,3,43,0.951024990350135,李诗情
